1, none, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
2, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
3, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
4, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
5, none, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
6, none, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
7, none, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
8, none, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
9, none, regions_unexplored:alpha_grove, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
10, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:drygmy, 10, 1, 2
11, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
12, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
13, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
14, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
15, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
16, none, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
17, none, far_end:amethyst_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
18, none, far_end:amethyst_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
19, none, far_end:amethyst_forest, CREATURE, alexsmobs:endergrade, 10, 2, 6
20, none, far_end:amethyst_forest, CREATURE, alexsmobs:spectre, 10, 1, 2
21, none, far_end:amethyst_forest, CREATURE, alexsmobs:enderiophage, 10, 2, 2
22, none, far_end:amethyst_forest, CREATURE, alexsmobs:cosmaw, 10, 1, 2
23, none, far_end:amethyst_forest, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 12
24, none, deeper_dark:amethyst_mines, MONSTER, alexsmobs:farseer, 30, 1, 1
25, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
26, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
27, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
28, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
29, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
30, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
31, forest, ars_nouveau:archwood_forest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
32, forest, ars_nouveau:archwood_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
33, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 3, 5
34, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 3
35, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 3
36, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:blazing_weald_walker, 10, 1, 1
37, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:cascading_weald_walker, 10, 1, 1
38, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:flourishing_weald_walker, 10, 1, 1
39, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:vexing_weald_walker, 10, 1, 1
40, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
41, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
42, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:crow, 10, 3, 5
43, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
44, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
45, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
46, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
47, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
48, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
49, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
50, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
51, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
