1, phenomena:abandoned_mansion, HEADING, header:ignore, 0, 0, 0
2, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
3, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
4, kellomod:abandoned_watchtower, HEADING, header:ignore, 0, 0, 0
5, adorabuild_structures:acacia_house_medium_1, HEADING, header:ignore, 0, 0, 0
6, adorabuild_structures:acacia_house_medium_2, HEADING, header:ignore, 0, 0, 0
7, adorabuild_structures:acacia_house_small_1, HEADING, header:ignore, 0, 0, 0
8, adorabuild_structures:acacia_house_small_2, HEADING, header:ignore, 0, 0, 0
9, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
10, adorabuild_structures:acacia_well_1, HEADING, header:ignore, 0, 0, 0
11, graveyard:altar, HEADING, header:ignore, 0, 0, 0
12, deeper_dark:amethyst_mineshaft, HEADING, header:ignore, 0, 0, 0
13, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
14, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
15, minecolonies:asian_colony, HEADING, header:ignore, 0, 0, 0
16, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
17, totw_modded:badlands, HEADING, header:ignore, 0, 0, 0
18, minecraft:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
19, adorabuild_structures:bamboo_campfire_1, HEADING, header:ignore, 0, 0, 0
20, adorabuild_structures:bamboo_house_small_1, HEADING, header:ignore, 0, 0, 0
21, hopo:bamboo_mineshaft, HEADING, header:ignore, 0, 0, 0
22, adorabuild_structures:bamboo_raft_1, HEADING, header:ignore, 0, 0, 0
23, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
24, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
25, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
26, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
27, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
28, adorabuild_structures:birch_beehive_1, HEADING, header:ignore, 0, 0, 0
29, adorabuild_structures:birch_house_medium_1, HEADING, header:ignore, 0, 0, 0
30, adorabuild_structures:birch_house_small_1, HEADING, header:ignore, 0, 0, 0
31, adorabuild_structures:birch_house_small_2, HEADING, header:ignore, 0, 0, 0
32, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
33, adorabuild_structures:birch_tree_1, HEADING, header:ignore, 0, 0, 0
34, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
35, kellomod:buried_bastion, HEADING, header:ignore, 0, 0, 0
36, kellomod:buried_shipwreck, HEADING, header:ignore, 0, 0, 0
37, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
38, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
39, minecolonies:caledonia_colony, HEADING, header:ignore, 0, 0, 0
40, stellarity:campsite, HEADING, header:ignore, 0, 0, 0
41, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
42, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
43, adorabuild_structures:cherry_house_medium_1, HEADING, header:ignore, 0, 0, 0
44, adorabuild_structures:cherry_house_medium_2, HEADING, header:ignore, 0, 0, 0
45, hopo:cherry_mineshaft, HEADING, header:ignore, 0, 0, 0
46, adorabuild_structures:cherry_tree_1, HEADING, header:ignore, 0, 0, 0
47, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
48, kellomod:collapsed_end_city, HEADING, header:ignore, 0, 0, 0
49, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
50, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
51, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
52, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
53, nyctocosm:crypts/dream, HEADING, header:ignore, 0, 0, 0
54, adorabuild_structures:dark_oak_house_large_1, HEADING, header:ignore, 0, 0, 0
55, adorabuild_structures:dark_oak_house_small_1, HEADING, header:ignore, 0, 0, 0
56, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
57, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
58, deeper_dark:deeper_dark_ancient_city, HEADING, header:ignore, 0, 0, 0
59, phenomena:deepslate_hill, HEADING, header:ignore, 0, 0, 0
60, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
61, totw_modded:derelict, HEADING, header:ignore, 0, 0, 0
62, totw_modded:derelict_grass, HEADING, header:ignore, 0, 0, 0
63, totw_modded:desert, HEADING, header:ignore, 0, 0, 0
64, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
65, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
66, minecolonies:desertoasis_colony, HEADING, header:ignore, 0, 0, 0
67, phenomena:doorbox, HEADING, header:ignore, 0, 0, 0
68, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
69, totw_modded:end, HEADING, header:ignore, 0, 0, 0
70, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
71, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
72, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
73, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
74, phenomena:end_house, HEADING, header:ignore, 0, 0, 0
75, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
76, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
77, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
78, totw_modded:everbright, HEADING, header:ignore, 0, 0, 0
79, totw_modded:everdawn, HEADING, header:ignore, 0, 0, 0
80, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
81, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
82, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
83, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
84, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
85, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
86, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
87, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
88, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
89, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
90, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
91, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
92, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
93, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
94, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
95, imst:farm/crimson_fungus, HEADING, header:ignore, 0, 0, 0
96, imst:farm/warped_fungus, HEADING, header:ignore, 0, 0, 0
97, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
98, simply_houses:forest_chapel, HEADING, header:ignore, 0, 0, 0
99, simply_houses:forest_fort, HEADING, header:ignore, 0, 0, 0
100, simply_houses:forest_house, HEADING, header:ignore, 0, 0, 0
101, simply_houses:forest_stonemason, HEADING, header:ignore, 0, 0, 0
102, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
103, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
104, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
105, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
